GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel,com.lenin.hotel.payment.controller,PaymentController,27,83,0,0,8,19,1,3,1,3
hotel,com.lenin.hotel.common,PagedResponse,0,21,0,0,0,1,0,1,0,1
hotel,com.lenin.hotel.common,MailConfig,0,43,0,0,0,11,0,2,0,2
hotel,com.lenin.hotel.hotel.utils,HotelUtils,21,152,0,0,7,56,3,9,3,9
hotel,com.lenin.hotel.hotel.utils,BookingUtils,8,76,1,1,2,25,2,3,1,3
hotel,com.lenin.hotel.hotel.utils,ImageUtils,3,13,0,0,1,6,1,1,1,1
hotel,com.lenin.hotel.hotel.controller,ReviewController,0,17,0,0,0,3,0,2,0,2
hotel,com.lenin.hotel.hotel.controller,FavoriteController,0,23,0,0,0,4,0,3,0,3
hotel,com.lenin.hotel.hotel.controller,BookingController,0,24,0,0,0,4,0,3,0,3
hotel,com.lenin.hotel.hotel.controller,AmenityController,0,16,0,0,0,3,0,2,0,2
hotel,com.lenin.hotel.hotel.controller,HotelController,40,113,0,0,7,20,5,11,5,11
hotel,com.lenin.hotel.hotel.controller,LocationController,0,16,0,0,0,3,0,2,0,2
hotel,com.lenin.hotel.hotel.dto.request,ChangePriceRequest,0,3,0,0,0,1,0,1,0,1
hotel,com.lenin.hotel.hotel.dto.request,BookingRequest,1,15,3,3,0,1,3,1,0,1
hotel,com.lenin.hotel.common.utils,SecurityUtils,0,14,0,2,0,4,0,2,0,1
hotel,com.lenin.hotel.common.utils,EmailTemplateUtils,25,112,1,1,2,13,3,3,2,3
hotel,com.lenin.hotel.payment.service,StripeService,32,7,0,0,6,3,1,2,1,2
hotel,com.lenin.hotel.common.service,PdfGeneratorService,145,307,2,4,25,47,2,6,1,4
hotel,com.lenin.hotel.common.service,ChartGenerator,10,156,0,4,3,32,1,4,1,2
hotel,com.lenin.hotel.hotel,HotelSpecification,347,0,24,0,51,0,15,0,3,0
hotel,com.lenin.hotel.payment.utils,CustomerUtil,56,0,4,0,19,0,5,0,3,0
hotel,com.lenin.hotel.common.configuration,AsyncConfig,0,3,0,0,0,1,0,1,0,1
hotel,com.lenin.hotel.authentication.dto.request,TokenRefreshRequest,0,3,0,0,0,1,0,1,0,1
hotel,com.lenin.hotel.common.anotation,ValidDateRangeValidator,17,0,4,0,4,0,4,0,2,0
hotel,com.lenin.hotel.common.exception,StripeException.OrderUpdateFailedException,4,0,0,0,2,0,1,0,1,0
hotel,com.lenin.hotel.common.exception,StripeException.InvalidPayloadException,0,4,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.common.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.common.exception,GlobalExceptionHandler,128,19,2,0,31,5,15,3,14,3
hotel,com.lenin.hotel.common.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.common.exception,TokenRefreshException,7,0,0,0,2,0,1,0,1,0
hotel,com.lenin.hotel.common.exception,StripeException.InvalidSignatureException,0,9,0,0,0,4,0,2,0,2
hotel,com.lenin.hotel.common.exception,StripeException,0,9,0,0,0,4,0,2,0,2
hotel,com.lenin.hotel.hotel.service.impl,BookingServiceImpl,31,130,1,3,3,28,5,4,4,3
hotel,com.lenin.hotel.hotel.service.impl,AmenityServiceImpl,0,36,0,2,0,10,0,3,0,2
hotel,com.lenin.hotel.hotel.service.impl,ReviewServiceImpl,2,210,2,8,0,46,2,8,0,5
hotel,com.lenin.hotel.hotel.service.impl,HotelServiceImpl,835,657,59,27,140,141,72,26,33,22
hotel,com.lenin.hotel.hotel.service.impl,LocationServiceImpl,0,44,0,4,0,12,0,4,0,2
hotel,com.lenin.hotel.payment.service.impl,PaymentServiceImpl,20,184,7,7,6,55,7,9,0,9
hotel,com.lenin.hotel.authentication.service.impl,AdminServiceImpl,0,135,0,6,0,25,0,11,0,8
hotel,com.lenin.hotel.authentication.service.impl,UserServiceImpl,291,290,22,12,49,52,26,10,12,7
hotel,com.lenin.hotel.authentication.advice,ErrorMessage,27,0,0,0,10,0,5,0,5,0
hotel,com.lenin.hotel.authentication.advice,TokenControllerAdvice,14,3,0,0,4,1,1,1,1,1
hotel,com.lenin.hotel,HotelApplication,5,3,0,0,2,1,1,1,1,1
hotel,com.lenin.hotel.authentication.model,User,0,31,0,0,0,10,0,2,0,2
hotel,com.lenin.hotel.common.enumuration,ImageType,0,27,0,0,0,5,0,1,0,1
hotel,com.lenin.hotel.common.enumuration,BookingStatus,0,21,0,0,0,4,0,1,0,1
hotel,com.lenin.hotel.common.enumuration,ERole,0,21,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.payment.model,ProductDAO,119,0,6,0,34,0,6,0,3,0
hotel,com.lenin.hotel.authentication.security,AuthEntryPointJwt,0,8,0,0,0,3,0,2,0,2
hotel,com.lenin.hotel.authentication.security,CustomUserDetailsService,0,8,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.authentication.security,AuthTokenFilter,6,64,2,6,2,16,2,5,0,3
hotel,com.lenin.hotel.authentication.security,WebSecurityConfig,11,164,0,0,4,32,1,12,1,12
hotel,com.lenin.hotel.authentication.security,JwtUtil,66,87,0,0,19,23,2,6,2,6
hotel,com.lenin.hotel.authentication.security,RefreshTokenService,14,62,1,1,2,13,2,5,1,5
hotel,com.lenin.hotel.authentication.security,UserDetailsImpl,28,73,9,1,6,24,6,10,1,10
hotel,com.lenin.hotel.authentication.security,CustomOAuth2FailureHandler,21,7,0,0,6,2,1,2,1,2
hotel,com.lenin.hotel.authentication.security,CustomOAuth2SuccessHandler,183,0,14,0,41,0,10,0,3,0
hotel,com.lenin.hotel.payment.dto.request,ChargeRequest.Currency,0,15,0,0,0,2,0,1,0,1
hotel,com.lenin.hotel.authentication.dto.response,JwtResponse,0,27,0,0,0,10,0,1,0,1
hotel,com.lenin.hotel.authentication.dto.response,TokenRefreshResponse,0,12,0,0,0,5,0,1,0,1
hotel,com.lenin.hotel.authentication.utils,UserUtils,4,50,2,2,1,18,3,1,1,1
hotel,com.lenin.hotel.common.service.impl,EmailServiceImpl,64,124,0,0,25,31,1,5,1,5
hotel,com.lenin.hotel.authentication.controller,AdminController,0,30,0,0,0,4,0,4,0,4
hotel,com.lenin.hotel.authentication.controller,AuthController,26,97,3,3,3,20,5,7,2,7
hotel,com.lenin.hotel.authentication.controller,UserController,0,20,0,0,0,4,0,3,0,3
hotel,com.lenin.hotel.hotel.model,Amenity,0,12,0,0,0,5,0,1,0,1
